1308 東証ETF 上場インデックスファンドTOPIX（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2010-01-04","904","912","904","911","480100","911"
"2010-01-05","919","923","910","914","229700","914"
"2010-01-06","918","925","914","925","152700","925"
"2010-01-07","925","931","924","927","184400","927"
"2010-01-08","931","937","929","935","209400","935"
"2010-01-12","935","949","935","949","220900","949"
"2010-01-13","944","949","936","936","159100","936"
"2010-01-14","941","953","941","953","336900","953"
"2010-01-15","955","959","952","959","160900","959"
"2010-01-18","954","954","947","949","150200","949"
"2010-01-19","950","951","941","944","43400","944"
"2010-01-20","950","951","936","937","38700","937"
"2010-01-21","934","952","931","948","122900","948"
"2010-01-22","933","935","925","932","139400","932"
"2010-01-25","923","932","922","929","87000","929"
"2010-01-26","927","931","911","912","442600","912"
"2010-01-27","912","912","901","901","221800","901"
"2010-01-28","904","915","904","909","116000","909"
"2010-01-29","904","904","895","897","320800","897"
"2010-02-01","894","894","885","891","288700","891"
"2010-02-02","899","907","897","904","138600","904"
"2010-02-03","913","916","909","911","52300","911"
"2010-02-04","911","912","897","904","312300","904"
"2010-02-05","896","896","881","885","194500","885"
"2010-02-08","879","885","876","879","273200","879"
"2010-02-09","875","877","871","875","372700","875"
"2010-02-10","881","883","876","876","109900","876"
"2010-02-12","885","886","881","886","87200","886"
"2010-02-15","886","887","877","878","70800","878"
"2010-02-16","882","882","878","879","47100","879"
"2010-02-17","892","899","889","897","65100","897"
"2010-02-18","903","903","896","900","367100","900"
"2010-02-19","900","900","882","884","133000","884"
"2010-02-22","898","908","898","901","305500","901"
"2010-02-23","897","902","895","902","264400","902"
"2010-02-24","895","895","885","891","173000","891"
"2010-02-25","895","895","884","888","200000","888"
"2010-02-26","884","891","884","888","49300","888"
"2010-03-01","889","896","888","893","316600","893"
"2010-03-02","894","897","890","897","295200","897"
"2010-03-03","892","900","892","900","480500","900"
"2010-03-04","897","900","890","892","242700","892"
"2010-03-05","900","907","900","904","358500","904"
"2010-03-08","918","920","915","920","323100","920"
"2010-03-09","919","921","918","918","132500","918"
"2010-03-10","920","920","915","917","96800","917"
"2010-03-11","921","924","918","923","108100","923"
"2010-03-12","930","930","925","929","377200","929"
"2010-03-15","932","935","929","932","179100","932"
"2010-03-16","931","936","929","933","146100","933"
"2010-03-17","938","941","934","941","367600","941"
"2010-03-18","941","941","933","933","113300","933"
"2010-03-19","937","943","936","943","412100","943"
"2010-03-23","940","944","939","940","392000","940"
"2010-03-24","945","949","941","944","140100","944"
"2010-03-25","950","950","944","944","258000","944"
"2010-03-26","950","960","950","960","107500","960"
"2010-03-29","961","968","960","968","178700","968"
"2010-03-30","972","984","972","984","417400","984"
"2010-03-31","986","986","979","982","197400","982"
"2010-04-01","985","988","980","987","63900","987"
"2010-04-02","991","993","987","992","282500","992"
"2010-04-05","995","999","994","999","346600","999"
"2010-04-06","998","999","988","993","127600","993"
"2010-04-07","995","1000","993","998","298800","998"
"2010-04-08","991","993","988","988","52100","988"
"2010-04-09","991","992","985","992","145300","992"
"2010-04-12","997","1003","997","997","300900","997"
"2010-04-13","993","994","982","989","309300","989"
"2010-04-14","993","997","988","993","159600","993"
"2010-04-15","1000","1004","998","1001","271200","1001"
"2010-04-16","996","999","988","990","201700","990"
"2010-04-19","975","981","970","972","248400","972"
"2010-04-20","976","982","972","975","268900","975"
"2010-04-21","984","989","983","989","155800","989"
"2010-04-22","982","982","972","980","1273300","980"
"2010-04-23","976","981","975","980","579400","980"
"2010-04-26","987","999","987","998","96100","998"
"2010-04-27","995","999","992","999","118200","999"
"2010-04-28","975","982","974","979","243600","979"
"2010-04-30","994","994","986","987","186600","987"
"2010-05-06","960","963","957","959","581600","959"
"2010-05-07","924","938","921","933","528300","933"
"2010-05-10","930","947","929","947","615800","947"
"2010-05-11","957","957","933","935","406300","935"
"2010-05-12","936","941","930","933","153700","933"
"2010-05-13","946","950","943","948","234400","948"
"2010-05-14","934","944","933","939","259700","939"
"2010-05-17","924","929","917","921","639800","921"
"2010-05-18","926","926","913","917","74100","917"
"2010-05-19","906","912","900","912","561100","912"
"2010-05-20","907","910","897","898","272300","898"
"2010-05-21","876","882","874","880","3560700","880"
"2010-05-24","879","883","874","879","1860900","879"
"2010-05-25","875","875","858","859","639700","859"
"2010-05-26","865","869","856","861","406400","861"
"2010-05-27","854","872","852","872","1270400","872"
"2010-05-28","885","886","876","882","745300","882"
"2010-05-31","880","888","878","883","437100","883"
"2010-06-01","881","882","876","881","102600","881"
"2010-06-02","874","885","868","872","259000","872"
"2010-06-03","883","892","882","892","477300","892"
"2010-06-04","891","896","888","892","137400","892"
"2010-06-07","870","870","860","861","479400","861"
"2010-06-08","856","864","854","859","198200","859"
"2010-06-09","856","857","848","852","1696100","852"
"2010-06-10","856","859","851","857","114600","857"
"2010-06-11","872","875","867","867","226500","867"
"2010-06-14","877","879","876","879","208200","879"
"2010-06-15","878","883","877","882","241700","882"
"2010-06-16","896","896","891","893","155600","893"
"2010-06-17","893","893","887","889","74600","889"
"2010-06-18","892","892","884","885","126700","885"
"2010-06-21","893","906","893","904","775200","904"
"2010-06-22","900","902","895","895","182700","895"
"2010-06-23","887","887","882","883","125700","883"
"2010-06-24","881","888","879","882","83800","882"
"2010-06-25","873","873","866","867","189900","867"
"2010-06-28","871","871","862","862","170300","862"
"2010-06-29","864","868","852","853","1601500","853"
"2010-06-30","841","845","837","845","478300","845"
"2010-07-01","838","840","827","831","566100","831"
"2010-07-02","834","835","828","833","152200","833"
"2010-07-05","835","841","835","837","110700","837"
"2010-07-06","824","837","815","836","432400","836"
"2010-07-07","838","838","827","831","93800","831"
"2010-07-08","852","853","848","851","2560300","851"
"2010-07-09","853","854","847","851","120100","851"
"2010-07-12","848","857","846","848","301000","848"
"2010-07-13","853","853","841","845","64600","845"
"2010-07-14","860","865","857","861","395200","861"
"2010-07-15","854","855","845","847","195500","847"
"2010-07-16","840","844","829","829","300600","829"
"2010-07-20","822","828","818","823","254200","823"
"2010-07-21","829","829","818","819","63300","819"
"2010-07-22","815","818","812","815","269500","815"
"2010-07-23","830","834","826","830","129100","830"
"2010-07-26","839","842","835","837","161400","837"
"2010-07-27","835","840","835","837","123000","837"
"2010-07-28","846","855","846","855","617600","855"
"2010-07-29","848","853","848","852","241100","852"
"2010-07-30","849","849","836","842","81900","842"
"2010-08-02","842","849","838","840","55900","840"
"2010-08-03","852","853","846","848","30600","848"
"2010-08-04","843","843","834","834","410100","834"
"2010-08-05","849","850","841","848","67700","848"
"2010-08-06","840","852","840","852","44500","852"
"2010-08-09","845","847","844","846","108200","846"
"2010-08-10","852","852","842","842","11100","842"
"2010-08-11","836","836","823","823","345300","823"
"2010-08-12","811","818","807","818","426900","818"
"2010-08-13","816","822","813","820","288500","820"
"2010-08-16","814","818","811","818","120200","818"
"2010-08-17","810","817","810","817","461800","817"
"2010-08-18","825","827","817","825","389700","825"
"2010-08-19","825","833","825","832","425200","832"
"2010-08-20","825","827","819","820","264600","820"
"2010-08-23","817","818","811","812","169100","812"
"2010-08-24","808","811","805","808","286600","808"
"2010-08-25","802","803","794","796","241300","796"
"2010-08-26","801","802","796","802","115000","802"
"2010-08-27","797","812","796","809","649700","809"
"2010-08-30","821","831","817","820","364600","820"
"2010-08-31","808","809","794","794","712500","794"
"2010-09-01","794","800","791","800","1276400","800"
"2010-09-02","815","815","802","808","279200","808"
"2010-09-03","811","815","809","813","361500","813"
"2010-09-06","819","829","818","829","319800","829"
"2010-09-07","823","831","821","824","153300","824"
"2010-09-08","812","814","808","810","464600","810"
"2010-09-09","820","820","814","815","214400","815"
"2010-09-10","822","831","820","825","168600","825"
"2010-09-13","829","833","827","829","757800","829"
"2010-09-14","829","829","823","823","261000","823"
"2010-09-15","821","844","818","839","2653800","839"
"2010-09-16","846","846","832","833","1028300","833"
"2010-09-17","841","844","838","842","258400","842"
"2010-09-21","851","851","839","840","290700","840"
"2010-09-22","839","841","836","837","109800","837"
"2010-09-24","826","839","824","827","200200","827"
