1308 東証ETF 上場インデックスファンドTOPIX（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2007-01-04","1703","1716","1703","1712","150000","1712"
"2007-01-05","1711","1711","1681","1686","221000","1686"
"2007-01-09","1680","1708","1680","1704","170000","1704"
"2007-01-10","1700","1702","1669","1677","286000","1677"
"2007-01-11","1675","1685","1663","1667","821000","1667"
"2007-01-12","1684","1703","1679","1698","292000","1698"
"2007-01-15","1709","1720","1703","1718","264000","1718"
"2007-01-16","1720","1722","1712","1716","294000","1716"
"2007-01-17","1712","1723","1696","1719","253000","1719"
"2007-01-18","1718","1731","1718","1726","216000","1726"
"2007-01-19","1724","1730","1720","1728","268000","1728"
"2007-01-22","1739","1745","1735","1744","210000","1744"
"2007-01-23","1740","1744","1735","1744","209000","1744"
"2007-01-24","1752","1759","1752","1753","195000","1753"
"2007-01-25","1760","1762","1743","1744","219000","1744"
"2007-01-26","1731","1741","1729","1740","95000","1740"
"2007-01-29","1735","1753","1734","1747","406000","1747"
"2007-01-30","1749","1759","1743","1743","102000","1743"
"2007-01-31","1743","1745","1726","1731","201000","1731"
"2007-02-01","1731","1751","1731","1749","1119000","1749"
"2007-02-02","1754","1763","1751","1754","285000","1754"
"2007-02-05","1745","1770","1724","1730","264000","1730"
"2007-02-06","1733","1746","1733","1743","498000","1743"
"2007-02-07","1737","1745","1736","1741","62000","1741"
"2007-02-08","1749","1749","1724","1731","230000","1731"
"2007-02-09","1718","1761","1718","1758","355000","1758"
"2007-02-13","1756","1772","1756","1769","430000","1769"
"2007-02-14","1774","1785","1771","1778","183000","1778"
"2007-02-15","1790","1792","1781","1789","895000","1789"
"2007-02-16","1787","1787","1780","1786","161000","1786"
"2007-02-19","1785","1797","1780","1792","157000","1792"
"2007-02-20","1792","1796","1781","1796","95000","1796"
"2007-02-21","1793","1803","1793","1803","175000","1803"
"2007-02-22","1814","1818","1812","1815","485000","1815"
"2007-02-23","1822","1833","1812","1831","482000","1831"
"2007-02-26","1835","1838","1826","1830","235000","1830"
"2007-02-27","1832","1840","1820","1825","424000","1825"
"2007-02-28","1713","1768","1713","1762","839000","1762"
"2007-03-01","1761","1768","1740","1754","989000","1754"
"2007-03-02","1742","1747","1728","1736","1177000","1736"
"2007-03-05","1700","1705","1670","1675","599000","1675"
"2007-03-06","1675","1709","1675","1709","439000","1709"
"2007-03-07","1735","1735","1700","1702","595000","1702"
"2007-03-08","1702","1734","1702","1732","273000","1732"
"2007-03-09","1743","1750","1740","1746","263000","1746"
"2007-03-12","1764","1764","1747","1754","258000","1754"
"2007-03-13","1758","1758","1737","1737","63000","1737"
"2007-03-14","1702","1705","1684","1685","446000","1685"
"2007-03-15","1705","1715","1695","1706","227000","1706"
"2007-03-16","1705","1707","1683","1691","241000","1691"
"2007-03-19","1689","1709","1680","1709","255000","1709"
"2007-03-20","1722","1733","1720","1724","247000","1724"
"2007-03-22","1745","1753","1743","1744","346000","1744"
"2007-03-23","1760","1760","1748","1752","546000","1752"
"2007-03-26","1764","1764","1746","1754","198000","1754"
"2007-03-27","1757","1761","1739","1747","230000","1747"
"2007-03-28","1740","1751","1724","1731","258000","1731"
"2007-03-29","1714","1739","1710","1732","323000","1732"
"2007-03-30","1742","1748","1735","1737","211000","1737"
"2007-04-02","1745","1749","1704","1705","641000","1705"
"2007-04-03","1722","1728","1714","1724","672000","1724"
"2007-04-04","1745","1755","1742","1753","422000","1753"
"2007-04-05","1749","1750","1737","1743","199000","1743"
"2007-04-06","1740","1747","1734","1739","712000","1739"
"2007-04-09","1750","1760","1748","1760","174000","1760"
"2007-04-10","1755","1760","1750","1755","136000","1755"
"2007-04-11","1759","1765","1755","1761","365000","1761"
"2007-04-12","1751","1757","1738","1747","194000","1747"
"2007-04-13","1764","1764","1724","1728","627000","1728"
"2007-04-16","1741","1751","1738","1745","118000","1745"
"2007-04-17","1760","1760","1732","1738","195000","1738"
"2007-04-18","1739","1755","1739","1752","164000","1752"
"2007-04-19","1739","1741","1719","1734","95000","1734"
"2007-04-20","1734","1737","1727","1735","96000","1735"
"2007-04-23","1742","1749","1722","1726","151000","1726"
"2007-04-24","1725","1730","1714","1729","133000","1729"
"2007-04-25","1720","1721","1709","1716","128000","1716"
"2007-04-26","1724","1728","1715","1728","163000","1728"
"2007-04-27","1722","1740","1718","1725","84000","1725"
"2007-05-01","1727","1727","1711","1720","156000","1720"
"2007-05-02","1715","1730","1710","1730","146000","1730"
"2007-05-07","1744","1758","1744","1758","146000","1758"
"2007-05-08","1754","1760","1752","1753","103000","1753"
"2007-05-09","1752","1770","1752","1770","77000","1770"
"2007-05-10","1771","1776","1760","1761","149000","1761"
"2007-05-11","1747","1748","1734","1745","49000","1745"
"2007-05-14","1764","1765","1755","1756","99000","1756"
"2007-05-15","1749","1750","1734","1736","136000","1736"
"2007-05-16","1740","1740","1726","1732","104000","1732"
"2007-05-17","1745","1747","1728","1732","187000","1732"
"2007-05-18","1731","1733","1711","1717","441000","1717"
"2007-05-21","1722","1735","1716","1732","191000","1732"
"2007-05-22","1737","1757","1735","1753","440000","1753"
"2007-05-23","1760","1770","1760","1763","495000","1763"
"2007-05-24","1754","1763","1750","1759","151000","1759"
"2007-05-25","1735","1738","1726","1735","402000","1735"
"2007-05-28","1745","1749","1742","1744","354000","1744"
"2007-05-29","1740","1762","1740","1762","295000","1762"
"2007-05-30","1760","1767","1747","1757","127000","1757"
"2007-05-31","1762","1778","1762","1775","308000","1775"
"2007-06-01","1784","1795","1784","1789","457000","1789"
"2007-06-04","1815","1815","1795","1796","83000","1796"
"2007-06-05","1796","1802","1793","1800","213000","1800"
"2007-06-06","1795","1803","1795","1802","629000","1802"
"2007-06-07","1789","1804","1789","1801","922000","1801"
"2007-06-08","1782","1789","1769","1779","221000","1779"
"2007-06-11","1790","1796","1781","1782","320000","1782"
"2007-06-12","1785","1787","1774","1775","153000","1775"
