1308 東証ETF 上場インデックスファンドTOPIX（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2011-01-04","903","910","903","910","176100","910"
"2011-01-05","909","911","906","907","67200","907"
"2011-01-06","920","921","917","921","349300","921"
"2011-01-07","921","925","920","923","142600","923"
"2011-01-11","922","926","920","925","117000","925"
"2011-01-12","929","932","926","927","228800","927"
"2011-01-13","935","936","932","934","298300","934"
"2011-01-14","932","934","928","929","74900","929"
"2011-01-17","935","935","925","925","117000","925"
"2011-01-18","925","931","923","929","307600","929"
"2011-01-19","931","936","930","934","410000","934"
"2011-01-20","932","932","924","924","776400","924"
"2011-01-21","929","929","906","910","409700","910"
"2011-01-24","910","916","907","916","100100","916"
"2011-01-25","918","929","917","926","82600","926"
"2011-01-26","923","924","920","920","254600","920"
"2011-01-27","924","928","920","927","91500","927"
"2011-01-28","926","926","915","917","53500","917"
"2011-01-31","907","910","901","907","119000","907"
"2011-02-01","912","913","908","911","35900","911"
"2011-02-02","918","929","918","927","143100","927"
"2011-02-03","928","928","924","924","117500","924"
"2011-02-04","934","938","931","931","1352600","931"
"2011-02-07","939","941","936","937","276700","937"
"2011-02-08","943","943","939","943","96300","943"
"2011-02-09","946","948","939","940","876800","940"
"2011-02-10","941","944","939","944","26200","944"
"2011-02-14","950","956","950","956","513900","956"
"2011-02-15","959","961","956","960","1170300","960"
"2011-02-16","960","968","960","965","166300","965"
"2011-02-17","967","973","967","970","418400","970"
"2011-02-18","971","972","969","970","221000","970"
"2011-02-21","971","972","966","970","201400","970"
"2011-02-22","964","966","953","954","684800","954"
"2011-02-23","947","956","945","946","350800","946"
"2011-02-24","942","942","931","934","653000","934"
"2011-02-25","935","940","933","938","49700","938"
"2011-02-28","937","950","934","948","57500","948"
"2011-03-01","954","961","953","961","98500","961"
"2011-03-02","946","950","939","941","2471300","941"
"2011-03-03","943","947","942","946","126900","946"
"2011-03-04","959","960","950","952","149300","952"
"2011-03-07","947","947","936","940","189000","940"
"2011-03-08","937","942","936","936","74400","936"
"2011-03-09","945","947","939","941","1003900","941"
"2011-03-10","936","938","926","927","192900","927"
"2011-03-11","917","923","912","914","456900","914"
"2011-03-14","857","870","818","844","1826100","844"
"2011-03-15","814","815","701","772","648000","772"
"2011-03-16","787","813","783","812","513500","812"
"2011-03-17","782","818","780","811","1229900","811"
"2011-03-18","817","831","817","825","1479900","825"
"2011-03-22","861","868","855","866","2984600","866"
"2011-03-23","866","866","852","859","901000","859"
"2011-03-24","857","861","850","852","185200","852"
"2011-03-25","863","863","849","854","341300","854"
"2011-03-28","854","857","849","854","633400","854"
"2011-03-29","854","860","845","856","389800","856"
"2011-03-30","859","871","856","871","356800","871"
"2011-03-31","879","879","869","875","274900","875"
"2011-04-01","879","880","869","870","800300","870"
"2011-04-04","874","875","865","865","240800","865"
"2011-04-05","869","869","848","855","608300","855"
"2011-04-06","856","860","842","845","848300","845"
"2011-04-07","853","857","848","848","685100","848"
"2011-04-08","842","862","840","859","1272500","859"
"2011-04-11","859","862","856","858","700100","858"
"2011-04-12","848","849","842","844","455800","844"
"2011-04-13","840","851","840","851","444200","851"
"2011-04-14","845","854","845","852","370600","852"
"2011-04-15","850","851","847","847","144800","847"
"2011-04-18","847","849","843","843","95200","843"
"2011-04-19","835","837","830","832","712800","832"
"2011-04-20","844","845","840","842","95000","842"
"2011-04-21","850","850","844","847","37700","847"
"2011-04-22","842","851","842","847","417000","847"
"2011-04-25","849","854","846","846","303800","846"
"2011-04-26","844","844","838","841","345900","841"
"2011-04-27","845","850","843","845","583500","845"
"2011-04-28","850","858","849","856","857700","856"
"2011-05-02","870","874","867","873","270800","873"
"2011-05-06","858","864","857","864","140700","864"
"2011-05-09","864","865","857","859","23300","859"
"2011-05-10","864","865","857","864","255000","864"
"2011-05-11","870","870","863","863","143500","863"
"2011-05-12","858","862","856","856","304000","856"
