1308 東証ETF 上場インデックスファンドTOPIX（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2003-01-06","855","867","855","863","1995000","863"
"2003-01-07","872","878","859","860","2116000","860"
"2003-01-08","852","855","843","844","1684000","844"
"2003-01-09","835","844","834","841","1042000","841"
"2003-01-10","840","848","835","843","1188000","843"
"2003-01-14","846","851","843","850","788000","850"
"2003-01-15","850","859","846","857","1808000","857"
"2003-01-16","851","859","851","857","1775000","857"
"2003-01-17","857","866","855","864","2497000","864"
"2003-01-20","857","862","849","854","1370000","854"
"2003-01-21","855","871","855","871","2552000","871"
"2003-01-22","870","870","855","859","1462000","859"
"2003-01-23","856","869","853","868","1847000","868"
"2003-01-24","867","875","864","867","2930000","867"
"2003-01-27","857","861","852","855","1695000","855"
"2003-01-28","851","851","845","846","2253000","846"
"2003-01-29","846","846","828","829","2361000","829"
"2003-01-30","831","836","827","830","1612000","830"
"2003-01-31","827","827","820","824","2034000","824"
"2003-02-03","822","841","820","841","1627000","841"
"2003-02-04","846","853","845","850","2113000","850"
"2003-02-05","841","857","841","848","1859000","848"
"2003-02-06","851","852","841","844","1368000","844"
"2003-02-07","841","845","839","844","1059000","844"
"2003-02-10","840","846","840","843","1179000","843"
"2003-02-12","848","863","848","862","3531000","862"
"2003-02-13","856","862","853","856","1115000","856"
"2003-02-14","846","868","846","861","3027000","861"
"2003-02-17","867","872","864","867","2389000","867"
"2003-02-18","863","867","860","861","799000","861"
"2003-02-19","864","868","858","860","841000","860"
"2003-02-20","851","855","850","853","935000","853"
"2003-02-21","853","856","843","845","1122000","845"
"2003-02-24","844","848","843","844","632000","844"
"2003-02-25","838","838","822","823","2469000","823"
"2003-02-26","822","830","820","823","1710000","823"
"2003-02-27","819","825","815","822","1799000","822"
"2003-02-28","826","829","820","823","1857000","823"
"2003-03-03","823","828","820","828","903000","828"
"2003-03-04","827","834","827","830","446000","830"
"2003-03-05","825","831","824","829","1317000","829"
"2003-03-06","826","832","820","820","783000","820"
"2003-03-07","818","818","801","802","1052000","802"
"2003-03-10","798","798","784","786","1014000","786"
"2003-03-11","776","788","771","771","1463000","771"
"2003-03-12","776","788","773","784","668000","784"
"2003-03-13","789","791","780","782","559000","782"
"2003-03-14","795","797","788","788","1107000","788"
"2003-03-17","782","791","776","780","1086000","780"
"2003-03-18","792","800","785","785","1586000","785"
"2003-03-19","787","792","776","792","1362000","792"
"2003-03-20","800","814","798","809","2152000","809"
"2003-03-24","819","838","819","835","2980000","835"
"2003-03-25","825","829","814","814","1781000","814"
"2003-03-26","828","832","822","832","2176000","832"
"2003-03-27","826","835","826","832","856000","832"
"2003-03-28","830","833","825","826","826000","826"
"2003-03-31","820","821","795","795","1353000","795"
"2003-04-01","789","803","785","800","2692000","800"
"2003-04-02","803","805","792","804","1143000","804"
"2003-04-03","814","817","800","802","1858000","802"
"2003-04-04","802","808","797","807","1794000","807"
"2003-04-07","811","820","800","820","3122000","820"
"2003-04-08","815","817","807","809","1935000","809"
"2003-04-09","809","815","805","806","2559000","806"
"2003-04-10","805","807","798","801","2915000","801"
"2003-04-11","799","801","787","791","3812000","791"
"2003-04-14","792","794","779","782","5686000","782"
"2003-04-15","789","801","789","800","3102000","800"
"2003-04-16","803","804","795","799","2635000","799"
"2003-04-17","792","799","792","798","2582000","798"
"2003-04-18","802","803","799","799","4098000","799"
"2003-04-21","802","811","799","810","2506000","810"
"2003-04-22","808","809","795","797","609000","797"
"2003-04-23","801","805","796","798","1185000","798"
"2003-04-24","805","810","799","803","1384000","803"
"2003-04-25","793","797","787","789","1542000","789"
"2003-04-28","783","788","781","783","1220000","783"
"2003-04-30","798","804","793","802","3331000","802"
"2003-05-01","803","812","798","808","1922000","808"
"2003-05-02","806","813","802","813","1485000","813"
"2003-05-06","821","834","821","831","4043000","831"
"2003-05-07","834","837","828","828","1920000","828"
"2003-05-08","827","829","822","825","614000","825"
"2003-05-09","820","834","820","834","946000","834"
"2003-05-12","835","840","832","840","1694000","840"
"2003-05-13","844","850","838","839","2957000","839"
"2003-05-14","837","845","837","843","1795000","843"
"2003-05-15","838","838","826","828","1973000","828"
"2003-05-16","826","832","826","830","2183000","830"
"2003-05-19","825","826","815","823","1701000","823"
"2003-05-20","816","825","816","824","2605000","824"
"2003-05-21","822","828","816","818","2071000","818"
"2003-05-22","820","828","819","826","1465000","826"
"2003-05-23","831","838","830","838","1398000","838"
"2003-05-26","840","842","834","838","709000","838"
"2003-05-27","836","836","823","823","1124000","823"
"2003-05-28","840","840","831","831","768000","831"
"2003-05-29","835","844","834","843","1702000","843"
"2003-05-30","842","851","842","848","2069000","848"
"2003-06-02","849","861","849","856","3592000","856"
"2003-06-03","855","861","852","859","2605000","859"
"2003-06-04","862","866","859","860","1479000","860"
"2003-06-05","868","870","864","866","2474000","866"
"2003-06-06","868","880","866","879","3574000","879"
"2003-06-09","882","888","877","885","2496000","885"
"2003-06-10","875","880","873","878","1754000","878"
"2003-06-11","885","892","884","886","1824000","886"
"2003-06-12","893","894","883","885","2127000","885"
"2003-06-13","886","894","886","887","3974000","887"
"2003-06-16","885","886","879","880","3104000","880"
"2003-06-17","895","900","892","895","5009000","895"
"2003-06-18","902","910","902","903","4997000","903"
"2003-06-19","904","909","898","906","3566000","906"
"2003-06-20","900","910","900","908","2914000","908"
"2003-06-23","898","916","898","913","3421000","913"
"2003-06-24","903","907","892","894","2789000","894"
"2003-06-25","895","900","893","894","1216000","894"
"2003-06-26","894","904","888","904","1430000","904"
"2003-06-27","908","914","906","912","4221000","912"
"2003-06-30","914","918","912","916","1822000","916"
"2003-07-01","910","928","910","928","3252000","928"
"2003-07-02","933","957","933","955","5961000","955"
"2003-07-03","974","978","943","952","4308000","952"
"2003-07-04","942","952","940","949","1590000","949"
"2003-07-07","949","970","949","970","1588000","970"
"2003-07-08","980","988","974","975","4032000","975"
"2003-07-09","974","983","969","979","1128000","979"
"2003-07-10","973","988","973","978","1443000","978"
"2003-07-11","974","974","945","948","2991000","948"
"2003-07-14","958","960","950","956","1209000","956"
"2003-07-15","968","970","955","958","1191000","958"
"2003-07-16","962","962","946","952","1707000","952"
"2003-07-17","945","945","932","933","1054000","933"
"2003-07-18","923","939","923","935","1664000","935"
"2003-07-22","934","937","926","930","986000","930"
"2003-07-23","941","944","938","943","835000","943"
"2003-07-24","950","951","943","948","597000","948"
"2003-07-25","949","952","940","949","526000","949"
"2003-07-28","959","963","956","961","981000","961"
"2003-07-29","967","968","959","961","970000","961"
"2003-07-30","956","960","947","948","804000","948"
"2003-07-31","947","948","935","941","1828000","941"
"2003-08-01","951","951","940","945","582000","945"
"2003-08-04","940","943","933","936","441000","936"
"2003-08-05","932","935","923","928","1476000","928"
"2003-08-06","918","929","914","923","661000","923"
"2003-08-07","921","926","916","917","451000","917"
"2003-08-08","920","924","913","917","480000","917"
"2003-08-11","922","932","922","930","622000","930"
"2003-08-12","935","940","930","935","947000","935"
"2003-08-13","944","956","943","952","997000","952"
"2003-08-14","953","968","950","966","1355000","966"
"2003-08-15","971","979","962","965","2460000","965"
"2003-08-18","970","979","970","978","1881000","978"
"2003-08-19","988","995","985","992","3794000","992"
"2003-08-20","994","1005","990","1002","3655000","1002"
"2003-08-21","994","1014","994","1011","1784000","1011"
"2003-08-22","1011","1014","1004","1007","1052000","1007"
"2003-08-25","1001","1009","997","998","1236000","998"
"2003-08-26","996","1007","991","1007","1603000","1007"
"2003-08-27","1003","1015","1002","1002","2539000","1002"
"2003-08-28","1009","1009","992","997","1026000","997"
"2003-08-29","1007","1009","999","1003","1285000","1003"
"2003-09-01","1010","1027","1009","1027","2742000","1027"
"2003-09-02","1028","1033","1022","1026","2685000","1026"
"2003-09-03","1043","1043","1026","1035","2514000","1035"
"2003-09-04","1036","1042","1031","1031","1437000","1031"
"2003-09-05","1036","1036","1024","1026","831000","1026"
"2003-09-08","1017","1035","1017","1030","841000","1030"
"2003-09-09","1040","1051","1038","1049","1840000","1049"
"2003-09-10","1040","1050","1040","1043","1454000","1043"
"2003-09-11","1027","1039","1022","1022","1473000","1022"
"2003-09-12","1042","1048","1038","1045","1539000","1045"
"2003-09-16","1052","1065","1052","1065","1764000","1065"
"2003-09-17","1085","1085","1072","1074","1536000","1074"
"2003-09-18","1070","1080","1066","1079","721000","1079"
"2003-09-19","1093","1093","1071","1075","1901000","1075"
"2003-09-22","1060","1060","1036","1042","1474000","1042"
"2003-09-24","1051","1058","1032","1043","2174000","1043"
"2003-09-25","1025","1030","1020","1022","1160000","1022"
"2003-09-26","1012","1030","1012","1030","2128000","1030"
"2003-09-29","1028","1028","1015","1015","951000","1015"
"2003-09-30","1035","1037","1024","1026","1367000","1026"
"2003-10-01","1025","1035","1019","1035","714000","1035"
"2003-10-02","1052","1067","1051","1060","2114000","1060"
"2003-10-03","1065","1074","1062","1072","1816000","1072"
"2003-10-06","1088","1090","1075","1078","1432000","1078"
"2003-10-07","1078","1082","1071","1082","1002000","1082"
"2003-10-08","1069","1077","1060","1061","731000","1061"
"2003-10-09","1060","1067","1058","1062","994000","1062"
"2003-10-10","1069","1086","1069","1078","1058000","1078"
"2003-10-14","1090","1100","1089","1095","1196000","1095"
"2003-10-15","1097","1097","1085","1086","458000","1086"
"2003-10-16","1086","1097","1083","1096","453000","1096"
"2003-10-17","1101","1108","1095","1097","1270000","1097"
"2003-10-20","1097","1115","1093","1115","504000","1115"
"2003-10-21","1119","1120","1095","1095","681000","1095"
"2003-10-22","1100","1100","1079","1079","348000","1079"
"2003-10-23","1054","1054","1020","1020","1628000","1020"
"2003-10-24","1040","1042","1020","1031","997000","1031"
"2003-10-27","1031","1043","1031","1038","774000","1038"
"2003-10-28","1045","1055","1045","1052","832000","1052"
"2003-10-29","1068","1072","1053","1061","1422000","1061"
"2003-10-30","1059","1065","1054","1060","1021000","1060"
"2003-10-31","1057","1063","1045","1050","2669000","1050"
"2003-11-04","1066","1083","1066","1070","1290000","1070"
"2003-11-05","1065","1072","1056","1069","1021000","1069"
"2003-11-06","1070","1070","1040","1040","1592000","1040"
"2003-11-07","1040","1052","1039","1052","2969000","1052"
"2003-11-10","1048","1049","1038","1039","1257000","1039"
"2003-11-11","1022","1024","998","1010","2139000","1010"
"2003-11-12","1013","1024","1007","1011","1670000","1011"
"2003-11-13","1030","1030","1017","1021","283000","1021"
"2003-11-14","1023","1028","1010","1011","3427000","1011"
"2003-11-17","1001","1001","973","973","1176000","973"
"2003-11-18","965","981","933","981","2216000","981"
"2003-11-19","961","967","958","958","2374000","958"
"2003-11-20","973","981","960","977","2438000","977"
"2003-11-21","968","984","968","979","2768000","979"
"2003-11-25","1000","1001","994","994","738000","994"
"2003-11-26","997","1009","995","1006","2378000","1006"
"2003-11-27","1005","1012","1003","1010","2665000","1010"
"2003-11-28","1011","1011","998","998","3908000","998"
"2003-12-01","983","1028","983","1023","1286000","1023"
"2003-12-02","1036","1038","1024","1026","1687000","1026"
"2003-12-03","1022","1030","1020","1024","1978000","1024"
"2003-12-04","1024","1030","1023","1027","1582000","1027"
"2003-12-05","1027","1031","1022","1025","3468000","1025"
"2003-12-08","1010","1016","997","997","1073000","997"
"2003-12-09","1007","1007","994","1000","1814000","1000"
"2003-12-10","1001","1001","980","984","2411000","984"
"2003-12-11","989","997","986","993","1064000","993"
"2003-12-12","1009","1009","1000","1003","1558000","1003"
"2003-12-15","1032","1035","1021","1031","480000","1031"
"2003-12-16","1006","1012","1006","1010","1230000","1010"
"2003-12-17","1010","1011","992","992","1755000","992"
"2003-12-18","990","1004","990","1002","2839000","1002"
"2003-12-19","1012","1017","1011","1012","1122000","1012"
"2003-12-22","1020","1024","1012","1021","391000","1021"
"2003-12-24","1021","1022","1013","1017","882000","1017"
"2003-12-25","1018","1018","1014","1016","1476000","1016"
"2003-12-26","1017","1022","1016","1022","779000","1022"
"2003-12-29","1024","1037","1024","1032","1168000","1032"
"2003-12-30","1045","1051","1043","1049","406000","1049"
