1308 東証ETF 上場インデックスファンドTOPIX（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2002-01-09","1033","1033","1021","1023","262000","1023"
"2002-01-10","1023","1024","1006","1006","182000","1006"
"2002-01-11","1010","1010","1001","1001","82000","1001"
"2002-01-15","999","999","981","981","155000","981"
"2002-01-16","982","993","979","993","167000","993"
"2002-01-17","990","990","979","986","148000","986"
"2002-01-18","986","1000","986","1000","369000","1000"
"2002-01-21","999","1011","994","1005","334000","1005"
"2002-01-22","1004","1004","985","985","117000","985"
"2002-01-23","986","986","976","978","165000","978"
"2002-01-24","980","984","972","975","108000","975"
"2002-01-25","982","985","977","983","105000","983"
"2002-01-28","985","999","985","994","200000","994"
"2002-01-29","993","993","981","981","64000","981"
"2002-01-30","973","973","957","960","170000","960"
"2002-01-31","965","973","965","970","77000","970"
"2002-02-01","978","978","949","955","89000","955"
"2002-02-04","952","952","942","942","20000","942"
"2002-02-05","940","940","924","925","117000","925"
"2002-02-06","929","932","922","922","41000","922"
"2002-02-07","925","938","925","938","90000","938"
"2002-02-08","945","953","945","950","104000","950"
"2002-02-12","974","978","974","978","41000","978"
"2002-02-13","981","987","978","983","157000","983"
"2002-02-14","990","1003","990","990","35000","990"
"2002-02-15","990","990","977","979","31000","979"
"2002-02-18","985","985","981","981","17000","981"
"2002-02-19","989","989","955","955","50000","955"
"2002-02-20","955","958","950","956","31000","956"
"2002-02-21","961","986","961","986","302000","986"
"2002-02-22","980","992","980","992","39000","992"
"2002-02-25","995","995","993","993","5000","993"
"2002-02-26","993","997","985","985","8000","985"
"2002-02-27","985","1005","985","1000","105000","1000"
"2002-02-28","1000","1027","1000","1018","177000","1018"
"2002-03-01","1018","1030","1011","1030","130000","1030"
"2002-03-04","1041","1077","1041","1077","77000","1077"
"2002-03-05","1095","1095","1076","1086","116000","1086"
"2002-03-06","1077","1084","1073","1073","93000","1073"
"2002-03-07","1078","1097","1078","1093","69000","1093"
"2002-03-08","1090","1109","1090","1109","79000","1109"
"2002-03-11","1125","1130","1112","1128","115000","1128"
"2002-03-12","1128","1128","1103","1104","107000","1104"
"2002-03-13","1110","1110","1078","1078","318000","1078"
"2002-03-14","1068","1079","1068","1079","706000","1079"
"2002-03-15","1085","1098","1075","1090","309000","1090"
"2002-03-18","1110","1110","1089","1095","569000","1095"
"2002-03-19","1101","1110","1101","1110","177000","1110"
"2002-03-20","1120","1120","1100","1100","44000","1100"
"2002-03-22","1087","1087","1080","1080","53000","1080"
"2002-03-25","1083","1083","1069","1069","26000","1069"
