1308 東証ETF 上場インデックスファンドTOPIX（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2006-01-04","1679","1686","1676","1683","333000","1683"
"2006-01-05","1691","1698","1685","1698","756000","1698"
"2006-01-06","1695","1705","1690","1695","612000","1695"
"2006-01-10","1702","1705","1670","1672","422000","1672"
"2006-01-11","1667","1680","1653","1680","420000","1680"
"2006-01-12","1689","1695","1683","1694","536000","1694"
"2006-01-13","1689","1698","1687","1688","665000","1688"
"2006-01-16","1686","1692","1673","1682","163000","1682"
"2006-01-17","1663","1698","1641","1643","750000","1643"
"2006-01-18","1636","1636","1562","1635","476000","1635"
"2006-01-19","1589","1639","1589","1628","502000","1628"
"2006-01-20","1643","1654","1622","1630","675000","1630"
"2006-01-23","1593","1624","1593","1599","293000","1599"
"2006-01-24","1610","1625","1610","1620","346000","1620"
"2006-01-25","1628","1645","1628","1631","129000","1631"
"2006-01-26","1643","1653","1643","1652","128000","1652"
"2006-01-27","1681","1703","1681","1703","326000","1703"
"2006-01-30","1728","1734","1718","1718","205000","1718"
"2006-01-31","1720","1727","1714","1724","142000","1724"
"2006-02-01","1717","1721","1706","1706","306000","1706"
"2006-02-02","1723","1730","1717","1723","233000","1723"
"2006-02-03","1707","1721","1707","1721","180000","1721"
"2006-02-06","1726","1729","1709","1723","142000","1723"
"2006-02-07","1728","1728","1719","1726","659000","1726"
"2006-02-08","1707","1713","1680","1682","825000","1682"
"2006-02-09","1705","1708","1689","1694","140000","1694"
"2006-02-10","1703","1703","1654","1669","130000","1669"
"2006-02-13","1660","1660","1630","1630","131000","1630"
"2006-02-14","1621","1642","1601","1641","331000","1641"
"2006-02-15","1662","1662","1631","1631","1019000","1631"
"2006-02-16","1628","1648","1628","1638","744000","1638"
"2006-02-17","1642","1650","1615","1616","291000","1616"
"2006-02-20","1603","1603","1578","1581","268000","1581"
"2006-02-21","1609","1620","1600","1620","427000","1620"
"2006-02-22","1625","1633","1617","1621","131000","1621"
"2006-02-23","1638","1653","1631","1650","153000","1650"
"2006-02-24","1647","1656","1642","1656","60000","1656"
"2006-02-27","1663","1674","1661","1666","175000","1666"
"2006-02-28","1670","1672","1647","1667","817000","1667"
"2006-03-01","1646","1655","1644","1644","134000","1644"
"2006-03-02","1655","1659","1640","1640","323000","1640"
"2006-03-03","1633","1635","1620","1624","382000","1624"
"2006-03-06","1625","1633","1613","1633","53000","1633"
"2006-03-07","1633","1635","1623","1629","274000","1629"
"2006-03-08","1625","1625","1607","1612","252000","1612"
"2006-03-09","1618","1650","1618","1650","1120000","1650"
"2006-03-10","1655","1670","1650","1657","384000","1657"
"2006-03-13","1679","1685","1678","1685","193000","1685"
"2006-03-14","1694","1694","1675","1675","169000","1675"
"2006-03-15","1683","1685","1675","1679","1043000","1679"
"2006-03-16","1681","1681","1651","1656","1151000","1656"
"2006-03-17","1663","1674","1660","1674","1030000","1674"
"2006-03-20","1678","1702","1675","1698","241000","1698"
"2006-03-22","1702","1702","1693","1697","296000","1697"
"2006-03-23","1711","1712","1691","1691","393000","1691"
"2006-03-24","1695","1703","1690","1701","144000","1701"
"2006-03-27","1708","1710","1701","1702","559000","1702"
"2006-03-28","1706","1714","1696","1713","146000","1713"
"2006-03-29","1713","1734","1708","1732","148000","1732"
"2006-03-30","1744","1754","1736","1749","585000","1749"
"2006-03-31","1753","1755","1745","1745","90000","1745"
"2006-04-03","1752","1780","1752","1780","268000","1780"
"2006-04-04","1780","1780","1768","1768","254000","1768"
"2006-04-05","1775","1788","1761","1766","341000","1766"
"2006-04-06","1785","1796","1778","1796","568000","1796"
"2006-04-07","1796","1801","1786","1801","822000","1801"
"2006-04-10","1799","1800","1789","1797","185000","1797"
"2006-04-11","1802","1802","1779","1793","384000","1793"
"2006-04-12","1784","1784","1761","1765","644000","1765"
"2006-04-13","1769","1769","1745","1769","171000","1769"
"2006-04-14","1770","1771","1758","1767","209000","1767"
"2006-04-17","1765","1765","1740","1740","594000","1740"
"2006-04-18","1732","1762","1732","1762","248000","1762"
"2006-04-19","1782","1785","1771","1771","352000","1771"
"2006-04-20","1771","1772","1762","1765","415000","1765"
"2006-04-21","1766","1786","1762","1774","1022000","1774"
"2006-04-24","1760","1760","1730","1734","3824000","1734"
"2006-04-25","1731","1740","1723","1740","98000","1740"
"2006-04-26","1742","1749","1736","1745","96000","1745"
"2006-04-27","1752","1758","1748","1748","271000","1748"
"2006-04-28","1745","1745","1720","1738","278000","1738"
"2006-05-01","1737","1740","1734","1735","84000","1735"
"2006-05-02","1736","1760","1736","1756","195000","1756"
"2006-05-08","1786","1787","1769","1778","520000","1778"
"2006-05-09","1770","1777","1768","1769","140000","1769"
"2006-05-10","1761","1769","1738","1745","243000","1745"
"2006-05-11","1741","1748","1729","1731","549000","1731"
"2006-05-12","1713","1713","1694","1709","873000","1709"
"2006-05-15","1683","1702","1673","1701","768000","1701"
"2006-05-16","1697","1707","1661","1664","901000","1664"
"2006-05-17","1671","1677","1650","1677","250000","1677"
"2006-05-18","1640","1652","1633","1652","981000","1652"
